productType,imageUrl,productName,displayPrice,onSale,worth,shippingDisplay,shippingEligibility,salePercentage,fk_shop_id,salePrice
leg,https://picsum.photos/id/199/400/300,Guinea sweater,95.75,false,95.75,Free shipping eligible,true,1,4,95.75
active,https://picsum.photos/id/198/400/300,panel calculate tee,55.99,true,55.99,Free shipping eligible,true,0.15,3,$47.59
undefined,https://picsum.photos/id/197/400/300,invoice navigate pants,55.99,false,55.99,Free shipping eligible,true,1,10,55.99
leg,https://picsum.photos/id/196/400/300,Table XML needs-based sweater,95.75,true,95.75,Standard Shipping,false,0.25,3,$71.81
neck,https://picsum.photos/id/195/400/300,Intelligent Bike Shoes shoes,95.75,false,95.75,Free shipping eligible,true,1,1,95.75
leg,https://picsum.photos/id/194/400/300,user-facing deliverables shorts,55.99,false,55.99,Free shipping eligible,true,1,8,55.99
leg,https://picsum.photos/id/193/400/300,Indonesia Pa'anga action-items shoes,95.75,false,95.75,Standard Shipping,false,1,4,95.75
leg,https://picsum.photos/id/192/400/300,payment long-sleeve,55.99,true,55.99,Free shipping eligible,true,0.3,2,$39.19
leg,https://picsum.photos/id/191/400/300,synthesize fresh-thinking Implementation pull-over,55.99,true,55.99,Free shipping eligible,true,0.15,9,$47.59
leg,https://picsum.photos/id/190/400/300,International Customer Guernsey shorts,95.75,true,95.75,Standard Shipping,false,0.2,10,$76.60
casual,https://picsum.photos/id/189/400/300,Home sweater,55.99,true,55.99,Standard Shipping,false,0.3,9,$39.19
head,https://picsum.photos/id/188/400/300,Poland Customer monitoring pull-over,95.75,false,95.75,Free shipping eligible,true,1,2,95.75
head,https://picsum.photos/id/187/400/300,Minnesota primary sweater,55.99,true,55.99,Free shipping eligible,true,0.1,4,$50.39
casual,https://picsum.photos/id/186/400/300,Rubber repurpose Ball suit,55.99,true,55.99,Standard Shipping,false,0.3,8,$39.19
torso,https://picsum.photos/id/185/400/300,overriding t-shirt,55.99,true,55.99,Free shipping eligible,true,0.2,6,$44.79
neck,https://picsum.photos/id/184/400/300,invoice Oregon shoes,55.99,true,55.99,Standard Shipping,false,0.3,2,$39.19
undefined,https://picsum.photos/id/183/400/300,24/7 Table pants,55.99,false,55.99,Standard Shipping,false,1,8,55.99
head,https://picsum.photos/id/182/400/300,Plastic Handcrafted sweater,55.99,true,55.99,Free shipping eligible,true,0.1,3,$50.39
leg,https://picsum.photos/id/181/400/300,Grass-roots sweater,55.99,false,55.99,Free shipping eligible,true,1,2,55.99
swim,https://picsum.photos/id/180/400/300,wireless Clothing grey long-sleeve,95.75,false,95.75,Free shipping eligible,true,1,7,95.75
casual,https://picsum.photos/id/179/400/300,connecting Creative pants,95.75,false,95.75,Standard Shipping,false,1,2,95.75
neck,https://picsum.photos/id/178/400/300,Rubber repurpose Ball suit,95.75,false,95.75,Standard Shipping,false,1,5,95.75
leg,https://picsum.photos/id/177/400/300,invoice navigate pants,95.75,false,95.75,Free shipping eligible,true,1,1,95.75
leg,https://picsum.photos/id/176/400/300,Table XML needs-based sweater,55.99,true,55.99,Free shipping eligible,true,0.25,10,$41.99
neck,https://picsum.photos/id/175/400/300,Mouse CSS t-shirt,95.75,true,95.75,Standard Shipping,false,0.75,8,$23.94
foot,https://picsum.photos/id/174/400/300,maroon optimize t-shirt,55.99,true,55.99,Free shipping eligible,true,0.1,10,$50.39
torso,https://picsum.photos/id/173/400/300,maroon optimize t-shirt,95.75,false,95.75,Standard Shipping,false,1,9,95.75
active,https://picsum.photos/id/172/400/300,bus Salad pants,95.75,false,95.75,Standard Shipping,false,1,6,95.75
foot,https://picsum.photos/id/171/400/300,Dollar Configurable Dollar shorts,55.99,true,55.99,Standard Shipping,false,0.15,7,$47.59
head,https://picsum.photos/id/170/400/300,Decentralized Future THX shorts,95.75,true,95.75,Free shipping eligible,true,0.75,6,$23.94
head,https://picsum.photos/id/169/400/300,Senior Configuration blazer,55.99,true,55.99,Standard Shipping,false,0.75,5,$14.00
leg,https://picsum.photos/id/168/400/300,Baby Hampshire America pull-over,95.75,false,95.75,Standard Shipping,false,1,1,95.75
